epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,15412.8,0.81867,0.49025,0.96179,0.89289,0.80425,0.8783,0.62018,0.77197,0.43397,0.96311,0.000363239,0.000363239,0.000363239
81,15622,0.74497,0.43098,0.92546,0.89772,0.79147,0.87328,0.61278,0.78941,0.44183,0.96882,0.000346736,0.000346736,0.000346736
82,15815,0.73393,0.42736,0.92109,0.88741,0.80303,0.87808,0.61482,0.78987,0.44074,0.96848,0.000330233,0.000330233,0.000330233
83,16008.9,0.72789,0.42207,0.9193,0.90511,0.7926,0.8771,0.6141,0.78998,0.44412,0.96705,0.000313729,0.000313729,0.000313729
84,16217.4,0.72183,0.42164,0.91501,0.9043,0.79384,0.87572,0.61523,0.7872,0.44292,0.96525,0.000297226,0.000297226,0.000297226
85,16423.2,0.7143,0.41672,0.91143,0.90164,0.79801,0.87778,0.61857,0.78424,0.44139,0.96436,0.000280723,0.000280723,0.000280723
86,16624.7,0.71397,0.41878,0.91286,0.90656,0.79818,0.87961,0.62075,0.78369,0.43967,0.96371,0.00026422,0.00026422,0.00026422
87,16816.7,0.71457,0.41966,0.91462,0.90689,0.79936,0.88045,0.62116,0.78108,0.43949,0.96191,0.000247716,0.000247716,0.000247716
88,16984,0.70549,0.4158,0.90828,0.90432,0.79954,0.88146,0.62079,0.78065,0.43982,0.96148,0.000231213,0.000231213,0.000231213
89,17143.5,0.70253,0.41267,0.90821,0.90445,0.80191,0.87899,0.62072,0.78075,0.43805,0.96135,0.00021471,0.00021471,0.00021471
90,17306.5,0.69521,0.40908,0.90232,0.89742,0.80754,0.88085,0.62212,0.77923,0.43827,0.9602,0.000198206,0.000198206,0.000198206
91,17489.1,0.69339,0.40963,0.90201,0.8993,0.80514,0.88162,0.62303,0.77979,0.43867,0.96032,0.000181703,0.000181703,0.000181703
92,17683.2,0.69087,0.40589,0.9011,0.90316,0.80847,0.88424,0.62405,0.77758,0.43648,0.95938,0.0001652,0.0001652,0.0001652
93,17878.8,0.68357,0.40393,0.90013,0.90573,0.80764,0.88342,0.6239,0.77671,0.4371,0.95876,0.000148696,0.000148696,0.000148696
94,18072.5,0.67991,0.40018,0.89698,0.90615,0.80171,0.88264,0.62558,0.77591,0.4373,0.95869,0.000132193,0.000132193,0.000132193
95,18267.5,0.68249,0.40328,0.89953,0.91483,0.80473,0.88581,0.62557,0.77555,0.43685,0.9594,0.00011569,0.00011569,0.00011569
96,18466.9,0.67305,0.39682,0.89654,0.91044,0.80301,0.88423,0.62488,0.77584,0.43644,0.95965,9.91865e-05,9.91865e-05,9.91865e-05
97,18645.2,0.67082,0.39663,0.89692,0.90752,0.80273,0.88485,0.62438,0.77567,0.43695,0.96029,8.26832e-05,8.26832e-05,8.26832e-05
98,18805.4,0.66524,0.39409,0.89497,0.90574,0.8013,0.88291,0.62458,0.7755,0.43619,0.96025,6.61799e-05,6.61799e-05,6.61799e-05
99,18965.7,0.66466,0.39268,0.89114,0.90669,0.79887,0.88319,0.62482,0.77584,0.43691,0.9603,4.96766e-05,4.96766e-05,4.96766e-05
100,19122.5,0.66333,0.39205,0.89142,0.90926,0.79628,0.88246,0.62448,0.77639,0.43677,0.96019,3.31733e-05,3.31733e-05,3.31733e-05
